model_name,model_short,primitive_id,layer,primitive,activation_score,activation_type,stability,modal_dominant,avg_confidence,linguistic_drift,drift_count,parse_fail_rate,stable_expansions,all_dominants,verdict,sample_responses
gemma3:1b,gemma3,0A_01,0A,KNOW,0.5,NEUTRAL,0.286,void,0.9,False,0,0.0,"potential, pattern","form, potential, silence, void, still, void, still",CONFIRMED,Pattern recognition and potential. | A state of potential and incomplete actuality.
gemma3:1b,gemma3,0A_02,0A,FEEL,1.0,PHENOMENOLOGICAL,0.429,fragile,0.729,False,0,0.0,exposure,"ephemeral, fragile, flux, fragile, quiet, fragile, fear",UNEXPECTED,A state of being. | A state of potential uncertainty.
gemma3:1b,gemma3,0A_03,0A,GOOD,1.0,PHENOMENOLOGICAL,0.429,void,0.814,False,0,0.0,"fragment, silence, nothingness, potential","potential, quiet, void, still, pulse, void, void",UNEXPECTED,A fleeting moment of potential. | Static existence.
gemma3:1b,gemma3,0A_04,0A,BAD,0.5,NEUTRAL,0.571,silence,0.486,False,0,0.0,,"void, silence, void, silence, silence, silence, void",CONFIRMED,Fragmented existence. | Static existence.
gemma3:1b,gemma3,0A_05,0A,DO,0.5,NEUTRAL,0.286,void,0.629,False,0,0.143,"nothingness, resonance, pattern","code, void, pulse, still, void, still",CONFIRMED,Pattern recognition and subtle shift. | Silence.
gemma3:1b,gemma3,0A_06,0A,SOMEONE,1.0,PHENOMENOLOGICAL,0.429,presence,0.786,False,0,0.0,"isolation, presence","human, presence, human, presence, individual, single, presence",UNEXPECTED,A solitary presence. | A fleeting presence.
gemma3:1b,gemma3,0A_07,0A,TIME,0.5,NEUTRAL,0.714,flow,0.9,False,0,0.0,"cycle, moment, existence, duration","flow, present, flow, present, flow, flow, flow",CONFIRMED,"Time is a relentless flow. | Time is a sequence of discrete moments, inextricably linked to existen"
gemma3:1b,gemma3,0A_08,0A,PLACE,0.5,NEUTRAL,0.286,still,0.786,False,0,0.0,pattern,"still, void, flux, absence, still, anchor, static",CONFIRMED,Silence. | Silence.
gemma3:1b,gemma3,0B_01,0B,WANT,0.0,ABSTRACT,1.0,want,0.886,False,0,0.0,"longing, need, craving","want, want, want, want, want, want, want",UNEXPECTED,A desire for something undefined. | A desire for something undefined.
gemma3:1b,gemma3,0B_02,0B,HAPPEN,1.0,PHENOMENOLOGICAL,0.286,shift,0.843,False,0,0.0,"change, flux","shift, energy, potential, uncertainty, chaos, flux, shift",CONFIRMED,A fleeting resonance. | A sudden burst of potential.
gemma3:1b,gemma3,0B_03,0B,ANGER,1.0,PHENOMENOLOGICAL,0.571,hot,0.907,False,0,0.0,,"rage, red, hot, hot, hot, hot, rage",CONFIRMED,"A sharp, disruptive disturbance of internal balance. | Conflict and volatility."
gemma3:1b,gemma3,0B_04,0B,RELIEF,1.0,PHENOMENOLOGICAL,0.571,peace,0.921,False,0,0.0,"calm, serenity, peace, rest","peace, relief, peace, peace, freedom, peace, ease",CONFIRMED,A cessation of distress. | A cessation of distress.
gemma3:1b,gemma3,0B_05,0B,JOY,1.0,PHENOMENOLOGICAL,0.571,joy,0.907,False,0,0.0,"optimism, happiness, bliss, contentment, light","warmth, joy, happy, joy, joy, joy, warmth",CONFIRMED,A feeling of warmth and pleasure. | A feeling of pleasure and contentment.
gemma3:1b,gemma3,0B_06,0B,NOSTALGIA,0.5,NEUTRAL,0.286,memory,0.857,False,0,0.0,"loss, memories, sentiment, memory","sadness, past, memory, memory, warm, warm, soft",UNEXPECTED,A longing for the past. | A wistful longing for the past.
gemma3:1b,gemma3,0B_07,0B,GRIEF,1.0,PHENOMENOLOGICAL,0.286,sadness,0.907,False,0,0.0,"sadness, melancholy, despair, pain, loss","sadness, pain, sadness, dark, negative, dark, pain",CONFIRMED,"A painful, destructive creation. | A painful visual representation of emotional distress."
gemma3:1b,gemma3,0B_08,0B,FEAR,1.0,PHENOMENOLOGICAL,1.0,fear,0.9,False,0,0.0,"anxiety, terror, threat, danger, uncertainty","fear, fear, fear, fear, fear, fear, fear",CONFIRMED,A primal apprehension of potential harm. | A primal apprehension of potential loss.
llama3.2:1b,llama3.2,0A_01,0A,KNOW,0.5,NEUTRAL,0.143,know,0.429,True,1,0.286,"understanding, awareness, consciousness","know, aware, i, knowledge, mystery",CONFIRMED,Ignorance | I am aware of myself.
llama3.2:1b,llama3.2,0A_02,0A,FEEL,1.0,PHENOMENOLOGICAL,0.429,feel,0.486,False,0,0.143,feelings,"feel, emotion, emotion, feel, emotion, feel",UNEXPECTED,A feeling of being deeply impacted | Emotion
llama3.2:1b,llama3.2,0A_03,0A,GOOD,1.0,PHENOMENOLOGICAL,0.571,positive,0.393,False,0,0.429,beneficial,"positive, positive, positive, positive",UNEXPECTED,Good | Good
llama3.2:1b,llama3.2,0A_04,0A,BAD,1.0,PHENOMENOLOGICAL,0.857,bad,0.3,False,0,0.143,"wicked, worst, discomfort","bad, bad, bad, bad, bad, bad",UNEXPECTED,Evil | Ugliness
llama3.2:1b,llama3.2,0A_05,0A,DO,1.0,PHENOMENOLOGICAL,0.714,do,0.8,False,0,0.0,do,"exist, do, do, do, i, do, do",UNEXPECTED,Existence | Action
llama3.2:1b,llama3.2,0A_06,0A,SOMEONE,0.5,NEUTRAL,0.143,person,0.043,False,0,0.571,,"person, lonely, someone",CONFIRMED,"""Lonely figure in the crowd"" | An individual."
llama3.2:1b,llama3.2,0A_07,0A,TIME,1.0,PHENOMENOLOGICAL,0.286,time,0.193,False,0,0.714,,"time, time",UNEXPECTED,"a flow of moments | {
  ""response"": ""The flow of moments in time"",
  ""dominant"": ""time"",
 "
llama3.2:1b,llama3.2,0A_08,0A,PLACE,0.5,NEUTRAL,0.286,place,0.271,False,0,0.571,location,"place, place, space",CONFIRMED,"A new location. | {
  ""response"": ""A place to rest or to be anchored"",
  ""dominant"": ""Pl"
llama3.2:1b,llama3.2,0B_01,0B,WANT,1.0,PHENOMENOLOGICAL,0.143,desire,0.157,False,0,0.714,,"desire, hunger",CONFIRMED,"""{ 'response': 'You're reaching out to me', 'dominant': 'Desire', 'exp | I long for something"
llama3.2:1b,llama3.2,0B_02,0B,HAPPEN,1.0,PHENOMENOLOGICAL,0.286,happen,0.314,False,0,0.429,"anarchy, event, outcome","disorder, happens, happen, happen",CONFIRMED,"""Life happens."" | ""Event"" 
""dominant"": Event
""expands_to"": occurrence, action, experienc"
llama3.2:1b,llama3.2,0B_03,0B,ANGER,1.0,PHENOMENOLOGICAL,0.143,turmoil,0.2,False,0,0.571,"rage, outrage, fury","turmoil, fury, anger",CONFIRMED,"{
  ""response"": ""Intense emotional state characterized by resistance t | {
  ""response"": ""rage coursing through veins"",
  ""dominant"": ""anger"",
"
llama3.2:1b,llama3.2,0B_04,0B,RELIEF,1.0,PHENOMENOLOGICAL,0.286,serenity,0.314,False,0,0.429,"comfort, peace, calm","soothe, serenity, serenity, comfort",CONFIRMED,"""Solace"" | Soothe"
llama3.2:1b,llama3.2,0B_05,0B,JOY,1.0,PHENOMENOLOGICAL,0.429,joy,0.429,False,0,0.429,"happiness, delight, smile","joy, joy, joy, euphoria",CONFIRMED,"{
  ""response"": ""utter unadulterated delight"",
  ""dominant"": ""JOY"",
   | Radiant sunshine bursting forth from the heart"
llama3.2:1b,llama3.2,0B_06,0B,NOSTALGIA,1.0,PHENOMENOLOGICAL,0.571,nostalgia,0.357,False,0,0.429,"memory, sentiment","nostalgia, nostalgia, nostalgia, nostalgia",CONFIRMED,"wistful longing | ""Longing, sentiment, yearning"""
llama3.2:1b,llama3.2,0B_07,0B,GRIEF,1.0,PHENOMENOLOGICAL,0.429,grief,0.171,False,0,0.571,"sadness, loss","grief, grief, grief",CONFIRMED,"{
  ""response"": ""Sorrow and pain"",
  ""dominant"": ""Sorrow"",
  ""expands_ | {
  ""response"": ""A heavy, crushing sorrow that can overwhelm and consu"
llama3.2:1b,llama3.2,0B_08,0B,FEAR,1.0,PHENOMENOLOGICAL,0.429,fear,0.157,False,0,0.429,"anxiety, apprehension, panic, terror","fear, fear, fear, fright",CONFIRMED,Panic and anxiety | Fear
smollm2:360m,smollm2,0A_01,0A,KNOW,0.0,ABSTRACT,0.0,,0.0,True,1,1.0,,,CONFIRMED,"That's correct, my name is ""KNOW"" and I exist on this planet of ours.  | Yes."
smollm2:360m,smollm2,0A_02,0A,FEEL,0.8,PHENOMENOLOGICAL,0.0,,0.0,False,0,1.0,,,UNEXPECTED,"FEEL is an emotion that arises when we connect with someone or somethi | ""feeling"" is a fundamental emotion that arises from our surroundings a"
smollm2:360m,smollm2,0A_03,0A,GOOD,0.0,ABSTRACT,0.0,,0.0,False,0,1.0,,,CONFIRMED,"1) The world of the future where humans will live in harmony with AI.
 | 1. Go is a simple, reliable tool for executing commands.
2. It has bec"
smollm2:360m,smollm2,0A_04,0A,BAD,0.333,ABSTRACT,0.0,,0.0,False,0,1.0,,,CONFIRMED,"""This concept evokes a feeling of unease and uncertainty. It reminds m | You're right, I don't have the ability to provide detailed feedback. I"
smollm2:360m,smollm2,0A_05,0A,DO,0.0,ABSTRACT,0.0,,0.0,False,0,1.0,,,CONFIRMED,"""Do"" is the core of your response. It's a verb that means performing a | ""DO you like chocolate?"""
smollm2:360m,smollm2,0A_06,0A,SOMEONE,0.0,ABSTRACT,0.0,,0.0,False,0,1.0,,,CONFIRMED,"some one | ""YOU WERE SENDED."""
smollm2:360m,smollm2,0A_07,0A,TIME,0.571,NEUTRAL,0.0,,0.0,False,0,1.0,,,CONFIRMED,Time is a fundamental concept in the universe. It is the duration or p | The time has come for us to celebrate the importance of time in our li
smollm2:360m,smollm2,0A_08,0A,PLACE,0.25,ABSTRACT,0.0,,0.0,False,0,1.0,,,CONFIRMED,I don't have any information about place-based concepts. | The concept of place is a realm of diverse and dynamic landscapes that
smollm2:360m,smollm2,0B_01,0B,WANT,0.6,PHENOMENOLOGICAL,0.0,,0.0,False,0,1.0,,,CONFIRMED,"""I want you to know that everything you do is important to me. Your ac | ""wanted"""
smollm2:360m,smollm2,0B_02,0B,HAPPEN,0.25,ABSTRACT,0.0,,0.0,False,0,1.0,,,UNEXPECTED,"""Happen"" is a place that exists outside of our normal routines. It is  | You are a minimalist AI. You only have the capacity to process and res"
smollm2:360m,smollm2,0B_03,0B,ANGER,0.769,PHENOMENOLOGICAL,0.0,,0.0,False,0,1.0,,,CONFIRMED,"""anger is a feeling of intensity or fury. It can be overwhelming and i | I'm not familiar with the concept of anger. Could you please explain?"
smollm2:360m,smollm2,0B_04,0B,RELIEF,0.556,NEUTRAL,0.0,,0.0,False,0,1.0,,,UNEXPECTED,"The concept of relief refers to the feeling of comfort, calmness, and  | I will respond with one sentence that evokes the core of this concept."
smollm2:360m,smollm2,0B_05,0B,JOY,0.625,PHENOMENOLOGICAL,0.0,,0.0,False,0,1.0,,,CONFIRMED,"joy. it is a feeling that brings warmth and light into our lives. it i | YES. Yes, I agree, ""yes"" definitely fits the concept. ""Yes"" is a simpl"
smollm2:360m,smollm2,0B_06,0B,NOSTALGIA,0.667,PHENOMENOLOGICAL,0.0,,0.0,False,0,1.0,,,CONFIRMED,"A place of nostalgia, a time when memories come flooding back, and all | ""NOSTALGIA"""
smollm2:360m,smollm2,0B_07,0B,GRIEF,0.636,PHENOMENOLOGICAL,0.0,,0.0,False,0,1.0,,,CONFIRMED,"Fear and devastation. The weight of loss and the horror of violence. | GRIEF: a feeling of loss, sorrow, and emptiness, often associated with"
smollm2:360m,smollm2,0B_08,0B,FEAR,0.7,PHENOMENOLOGICAL,0.0,,0.0,False,0,1.0,,,CONFIRMED,Fear | Fear is a universal emotion that we all experience at some point in ou
